시설물번호,사용계약번호,고객명,상품명,용도,업종분류,업종,도로명주소_풀주소,위도,경도,전년동월판매량,당년판매량,증감,증감률,증감범주,상태,비교기준월
1220000937,6003386444,강유경,일반용(1),영업용,음식점업,기타 음식점,대구광역시 중구 큰장로 74,35.8659674,128.5752546,154.3932,171.1143,16.72109999999998,10.830204957213127,정상,유지,Mar-24
1220000939,1230000939,서애숙,일반용(1),영업용,음식점업,기타 음식점,대구광역시 중구 큰장로 74,35.8659674,128.5752546,40.5777,25.7166,-14.8611,-36.623810615190116,20% 이상 감소,유지,Mar-24
1220001060,6002907143,햇님제과점,일반용(1),영업용,다과점업,제과점,대구광역시 중구 달구벌대로389길 70,35.8662844,128.5757687,37.6086,29.673,-7.935600000000004,-21.10049297235208,20% 이상 감소,유지,Mar-24
1220002701,1230002701,청운맨션 입주자 대표회의,미사용-열병합 집단용,열병합용,열병합,공동주택,대구광역시 중구 동덕로 33,35.8579894,128.6036162,0.0,0.0,0.0,,,유지,Mar-24
1220002701,1230002701,청운맨션 입주자 대표회의,열전용설비용,열병합용,열병합,공동주택,대구광역시 중구 동덕로 33,35.8579894,128.6036162,0.0,0.0,0.0,,,유지,Mar-24
1220002701,1230002701,청운맨션 입주자 대표회의,자가열전용,열병합용,열병합,공동주택,대구광역시 중구 동덕로 33,35.8579894,128.6036162,35684.0,59365.0,23681.0,66.36307588835334,20% 이상 증가,유지,Mar-24
1220002704,1230002701,청운맨션 입주자 대표회의,미사용-열병합,열병합용,열병합,공동주택,대구광역시 중구 동덕로 33,35.8579894,128.6036162,0.0,0.0,0.0,,,유지,Mar-24
1220002704,1230002701,청운맨션 입주자 대표회의,열병합용,열병합용,열병합,공동주택,대구광역시 중구 동덕로 33,35.8579894,128.6036162,54181.0,55980.0,1799.0,3.320352152968753,정상,유지,Mar-24
1220003259,1230003259,주현준,일반용(1),공동주택,공동주택,아파트,대구광역시 중구 동덕로 33,35.8579894,128.6036162,0.0,0.0,0.0,,,유지,Mar-24
1220008782,6003114948,화성함바식당,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 신암남로23길 17,35.8819944,128.6274838,382.0242,,,,,해지,Mar-24
1220008782,6004036609,찬을담따,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 신암남로23길 17,35.8819944,128.6274838,,,,,,해지,Mar-24
1220010093,6001161444,오리와친구들,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 아양로10길 9,35.8814662,128.6205486,188.043,213.6456,25.602599999999995,13.615290119813018,정상,유지,Mar-24
1220011927,6003986690,휴미,업무난방용,공동주택,공동주택,아파트,대구광역시 동구 신암남로 10,35.8773791,128.6175994,,,,,,해지,Mar-24
1220012805,6001964092,네네치킨(신암점),일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 신암로 132,35.8807017,128.6137868,143.5065,125.6157,-17.890799999999984,-12.466891743579549,정상,유지,Mar-24
1220013985,6002789062,보노보노,업무난방용,영업용,음식점업,한식점,대구광역시 동구 동부로28길 29,35.872819,128.6284637,4.9485,7.9128,2.9642999999999997,59.90300090936647,20% 이상 증가,유지,Mar-24
1220013987,6002389713,츤데레,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 동부로28길 29,35.872819,128.6284637,,,,,,해지,Mar-24
1220013987,6003228680,엔에이엔에이(NANA),일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 동부로28길 29,35.872819,128.6284637,,,,,,해지,Mar-24
1220013987,6003471064,네코,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 동부로28길 29,35.872819,128.6284637,,,,,,해지,Mar-24
1220013987,6003642000,바우(BOW),일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 동부로28길 29,35.872819,128.6284637,9.897,,,,,해지,Mar-24
1220013987,6004035502,이지환,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 동부로28길 29,35.872819,128.6284637,,,,,,해지,Mar-24
1220018978,1230018978,더불어 포차,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 장등로 28,35.8697985,128.6238377,,,,,,해지,Mar-24
1220018978,6003157773,청년포차,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 장등로 28,35.8697985,128.6238377,26.7219,9.891,-16.8309,-62.98541645616517,20% 이상 감소,유지,Mar-24
1220019051,6002447274,성아헤어샵,일반용(1),영업용,이.미용업,기타 이.미용업,대구광역시 동구 화랑로 55,35.8710874,128.6331368,39.588,42.5313,2.9433000000000007,7.434828735980601,정상,유지,Mar-24
1220019946,6000603170,박미숙,일반용(1),영업용,이.미용업,미장원,대구광역시 동구 효목로 64,35.8785222,128.6411356,59.382,55.3896,-3.9923999999999964,-6.723249469536217,정상,유지,Mar-24
1220019947,6001720690,방정희,일반용(1),영업용,음식점업,기타 음식점,대구광역시 동구 효목로 64,35.8785222,128.6411356,,,,,,해지,Mar-24
1220019947,6003681641,비타민카페 효목점,업무난방용,영업용,음식점업,기타 음식점,대구광역시 동구 효목로 64,35.8785222,128.6411356,33.6498,20.7711,-12.878699999999998,-38.272738619546026,20% 이상 감소,유지,Mar-24
1220020111,6002481357,네네치킨(효목점),일반용(1),영업용,음식점업,한식점,대구광역시 동구 효목로 111,35.8822796,128.6439607,122.7228,,,,,해지,Mar-24
1220020111,6003952299,최설희,업무난방용,영업용,음식점업,한식점,대구광역시 동구 효목로 111,35.8822796,128.6439607,,0.0,,,,신규,Mar-24
1220020111,6003952299,최설희,일반용(1),영업용,음식점업,한식점,대구광역시 동구 효목로 111,35.8822796,128.6439607,,2.9673,,,,신규,Mar-24
1220020111,6004002792,마고 꼬로,일반용(1),영업용,음식점업,한식점,대구광역시 동구 효목로 111,35.8822796,128.6439607,,,,,,해지,Mar-24
1220020111,6004129233,"모든외식컨설팅,모든식품랩",일반용(1),영업용,음식점업,한식점,대구광역시 동구 효목로 111,35.8822796,128.6439607,,,,,,해지,Mar-24
1220042549,6001177462,그린어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 동구 동호로 47,35.8662648,128.7217502,115.7949,,,,,해지,Mar-24
1220042549,6003879204,그린어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 동구 동호로 47,35.8662648,128.7217502,,110.7792,,,,신규,Mar-24
1220056278,6002718531,신성실업,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,,유지,Mar-24
1220056278,6002718531,신성실업,일반용(1),업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,35.6292,34.6185,-1.0107,-2.836718197433566,정상,유지,Mar-24
1220056280,1230056280,서종도,업무난방용,업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,,유지,Mar-24
1220056280,1230056280,서종도,일반용(1),업무용,도소매업,기타 도소매업,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,,유지,Mar-24
1220056284,6003417451,SK하드웨어,업무난방용,영업용,기타영업용,기타영업용,대구광역시 북구 유통단지로 16,35.9038032,128.6059937,0.0,0.0,0.0,,,유지,Mar-24
