고객명,상품명,용도,업종분류,업종,도로명주소_풀주소,위도,경도,전년동월판매량,당년판매량,증감,증감률,증감범주,상태,비교기준월
 고산건강원,일반용(1),영업용,음식점업,한식점,대구광역시 수성구 시지로 72,35.8381043,128.6955504,0.0,0.0,0.0,,,유령,May-24
 삼돌이 왕숯불갈비,일반용(1),영업용,음식점업,한식점,대구광역시 북구 구리로 142-1,35.9468437,128.570687,0.0,0.0,0.0,,,유령,May-24
 아리가또맘마,일반용(1),영업용,음식점업,기타 음식점,대구광역시 북구 동천로 132,35.943354,128.5611464,0.0,0.0,0.0,,,유령,May-24
 오지고신찜닭,일반용(1),영업용,음식점업,한식점,대구광역시 달서구 월배로40길 38,35.8166438,128.5361929,0.0,0.0,0.0,,,유령,May-24
 유가찹쌀전통먹거리(초록미가점),일반용(1),영업용,음식점업,기타 음식점,대구광역시 달성군 현풍읍 테크노중앙대로5길 2-22,35.6980565,128.4548468,4.9485,3.9564,-0.9921000000000002,-20.048499545316766,20% 이상 감소,유지,May-24
 주식회사 디데이 푸드,일반용(1),영업용,음식점업,분식점,대구광역시 북구 대천로 100,35.9352542,128.5606892,0.0,0.0,0.0,,,유령,May-24
(A플러스)큰가람재가복지센터,업무난방용,단독주택,단독주택,단독주택,대구광역시 북구 관음중앙로 68-1,35.9399045,128.5445828,0.0,0.0,0.0,,,유지,May-24
(A플러스)큰가람재가복지센터,일반용(1),단독주택,단독주택,단독주택,대구광역시 북구 관음중앙로 68-1,35.9399045,128.5445828,6.9279,2.9673,-3.9606000000000003,-57.16883904213398,20% 이상 감소,유지,May-24
(BBQ)칠곡운암점,일반용(1),영업용,음식점업,기타 음식점,대구광역시 북구 구암로 292,35.9371113,128.5675428,0.0,176.0598,176.0598,,,신규,May-24
(LUCENS HAIR)루센스 헤어,일반용(1),영업용,이.미용업,기타 이.미용업,대구광역시 중구 태평로28길 13,35.8749298,128.5915053,0.0,12.8583,12.8583,,,신규,May-24
(i)숲담은어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 북구 침산남로9길 41-32,35.892008,128.5817531,0.0,0.0,0.0,,,유령,May-24
(win) 모텔,일반용(1),업무용,숙박업,여관업,대구광역시 동구 신암남로 128,35.8810132,128.6298667,0.0,0.0,0.0,,,해지,May-24
(win) 모텔,일반용(2),업무용,숙박업,호텔,대구광역시 동구 신암남로 128,35.8810132,128.6298667,1508.3028,0.0,-1508.3028,-100.0,20% 이상 감소,해지,May-24
(국공립) 아이파크 어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 북구 동북로 241,35.8962372,128.6182961,77.1966,77.1498,-0.046800000000004616,-0.06062443164595929,정상,유지,May-24
(국공립) 이스턴 팰리스 어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 북구 매전로4길 31,35.9056748,128.5448365,42.5571,60.3351,17.778,41.77446301557202,20% 이상 증가,유지,May-24
(국공립) 프로그레스 어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 북구 태전로7길 34,35.9229008,128.5422638,0.0,118.692,118.692,,,신규,May-24
(국공립)금호누리어린이집,일반용(1),업무용,교육업,어린이집,대구광역시 북구 내곡로 90,35.9002908,128.5142512,123.7125,129.5721,5.8596,4.736465595635041,정상,유지,May-24
(국공립)로제비앙 어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 북구 동화천로 220,35.9412802,128.6170282,151.4241,174.0816,22.6575,14.962941830263476,정상,유지,May-24
(국공립)복현이편한세상 어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 북구 동북로 247,35.8951265,128.6198514,69.279,85.0626,15.783600000000007,22.782661412549267,20% 이상 증가,유지,May-24
(국공립)복현자이 어린이집,일반용(1),업무용,교육업,어린이집,대구광역시 북구 공항로 16,35.8974496,128.6184506,111.8361,127.5939,15.757800000000003,14.090083613430728,정상,유지,May-24
(국공립)힐스테이트 어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 중구 태평로28길 13,35.8749298,128.5915053,0.0,111.7683,111.7683,,,신규,May-24
(대구동천동)비비큐,일반용(1),영업용,음식점업,기타 음식점,대구광역시 북구 동천로 53-13,35.9364096,128.5588004,0.0,0.0,0.0,,,유령,May-24
(락)하우스,일반용(1),영업용,음식점업,기타 음식점,경상북도 경산시 성암로 57,35.8235986,128.7238254,0.0,0.0,0.0,,,유령,May-24
(복)SOS프란치스카의집,냉난방용(업무),업무용,일반빌딩,일반빌딩,대구광역시 동구 방촌로1길 17,35.8882245,128.6578608,950.112,151.3323,-798.7796999999999,-84.07216201879358,20% 이상 감소,유지,May-24
(복)SOS프란치스카의집,업무난방용,업무용,의료업,요양원,대구광역시 동구 방촌로1길 17,35.8882245,128.6578608,1444.962,1469.8026,24.840599999999995,1.7191178729959677,정상,유지,May-24
(복)SOS프란치스카의집,업무난방용,업무용,일반빌딩,일반빌딩,대구광역시 동구 방촌로1길 17,35.8882245,128.6578608,0.0,0.0,0.0,,,유지,May-24
(복)SOS프란치스카의집,일반용(1),업무용,의료업,요양원,대구광역시 동구 방촌로1길 17,35.8882245,128.6578608,0.0,0.0,0.0,,,유지,May-24
(복)SOS프란치스카의집,일반용(1),업무용,일반빌딩,일반빌딩,대구광역시 동구 방촌로1길 17,35.8882245,128.6578608,589.8612,612.2529,22.3916999999999,3.796096437602592,정상,유지,May-24
(복)SOS프란치스카의집,일반용(2),업무용,일반빌딩,일반빌딩,대구광역시 동구 방촌로1길 17,35.8882245,128.6578608,1775.5218,2361.9708,586.4490000000001,33.02967048897964,20% 이상 증가,유지,May-24
(복)대광어린이집,업무난방용,업무용,교육업,어린이집,대구광역시 달서구 용산로4길 32,35.8383539,128.5325366,169.2387,196.8309,27.59220000000002,16.303717766681036,정상,유지,May-24
(복)대구가톨릭사회복지회,일반용(1),업무용,의료업,종합병원,대구광역시 달성군 논공읍 논공로 210,35.7211152,128.4529509,110.8464,182.9835,72.13709999999999,65.07843285844194,20% 이상 증가,유지,May-24
